"","MSSubClass","MSZoning","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","TotalBsmtSF","HeatingQC","CentralAir","GrLivArea","KitchenQual","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageArea","GarageQual","GarageCond","PavedDrive","Fence","SaleType","SaleCondition","SalePrice","BeenRemod","EraBuilt","Pool","TotBathrooms","TotPorch"
"1","60","RL","NoAlley","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","2Story","7","5",2003,"Gable","VinylSd","VinylSd","BrkFace",5.28320372873799,"Gd","TA","PConc","Gd","TA","No","GLQ",6.56103066589657,"Unf",6.75343791859778,"Ex","Y",7.44483327389219,"Gd","Typ",0,"No","Attchd","RFn",548,"TA","TA","Y","None","WD","Normal",12.247694320221,"FALSE","2000s","FALSE",3.5,4.12713438504509
"2","20","RL","NoAlley","Reg","Lvl","FR2","Gtl","Veenker","Feedr","1Fam","1Story","6","8",1976,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ",6.88653164253051,"Unf",7.14124512235049,"Ex","Y",7.14124512235049,"TA","Typ",1,"TA","Attchd","RFn",460,"TA","TA","Y","None","WD","Normal",12.109010932687,"FALSE","1970s","FALSE",2.5,5.70044357339069
"3","60","RL","NoAlley","IR1","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","2Story","7","5",2002,"Gable","VinylSd","VinylSd","BrkFace",5.09375020080676,"Gd","TA","PConc","Gd","TA","Mn","GLQ",6.18826412308259,"Unf",6.82546003625531,"Ex","Y",7.48829351515943,"Gd","Typ",1,"TA","Attchd","RFn",608,"TA","TA","Y","None","WD","Normal",12.3171666930358,"TRUE","2000s","FALSE",3.5,3.76120011569356
"4","70","RL","NoAlley","IR1","Lvl","Corner","Gtl","Crawfor","Norm","1Fam","2Story","7","5",1970,"Gable","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","TA","Gd","No","ALQ",5.37989735354046,"Unf",6.62936325343745,"Gd","Y",7.4489161025442,"Gd","Typ",1,"Gd","Detchd","Unf",642,"TA","TA","Y","None","WD","Abnorml",11.8493977015914,"TRUE","1910s","FALSE",2,5.73009978297357
"5","60","RL","NoAlley","IR1","Lvl","FR2","Gtl","NoRidge","Norm","1Fam","2Story","8","5",2000,"Gable","VinylSd","VinylSd","BrkFace",5.86078622346587,"Gd","TA","PConc","Gd","TA","Av","GLQ",6.48616078894409,"Unf",7.04403289727469,"Ex","Y",7.69575799055476,"Gd","Typ",1,"TA","Attchd","RFn",836,"TA","TA","Y","None","WD","Normal",12.4292161968444,"FALSE","2000s","FALSE",3.5,5.62401750618734
"6","50","RL","NoAlley","IR1","Lvl","Inside","Gtl","Mitchel","Norm","1Fam","1.5Fin","5","5",1995,"Gable","VinylSd","VinylSd","None",0,"TA","TA","Wood","Gd","TA","No","GLQ",6.59714570188665,"Unf",6.68085467879022,"Ex","Y",7.21744343169653,"TA","Typ",0,"No","Attchd","Unf",480,"TA","TA","Y","MnPrv","WD","Normal",11.870599909242,"TRUE","1990s","FALSE",2.5,5.96870755998537
"7","20","RL","NoAlley","Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","1Story","8","5",2005,"Gable","VinylSd","VinylSd","Stone",5.23110861685459,"Gd","TA","PConc","Ex","TA","Av","GLQ",7.22256601882217,"Unf",7.43070708254597,"Ex","Y",7.43543801981455,"Gd","Typ",1,"Gd","Attchd","RFn",636,"TA","TA","Y","None","WD","Normal",12.6346030265693,"TRUE","2000s","FALSE",3,5.74620319054015
"8","60","RL","NoAlley","IR1","Lvl","Corner","Gtl","NWAmes","PosN","1Fam","2Story","7","6",1973,"Gable","HdBoard","HdBoard","Stone",5.48479693349065,"TA","TA","CBlock","Gd","TA","Mn","ALQ",6.75693238924755,"BLQ",7.01031186730723,"Ex","Y",7.64539769942863,"TA","Typ",2,"TA","Attchd","RFn",484,"TA","TA","Y","None","WD","Normal",12.2060726455302,"FALSE","1970s","FALSE",3.5,6.50428817353665
"9","50","RM","NoAlley","Reg","Lvl","Inside","Gtl","OldTown","Artery","1Fam","1.5Fin","7","5",1950,"Gable","BrkFace","Wd Shng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",6.8596149036542,"Gd","Y",7.48155570190952,"TA","Min1",2,"TA","Detchd","Unf",468,"Fa","TA","Y","None","WD","Abnorml",11.7745202026587,"TRUE","1930s","FALSE",2,5.69035945432406
"10","190","RL","NoAlley","Reg","Lvl","Corner","Gtl","BrkSide","Artery","2fmCon","1.5Unf","5","6",1950,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","GLQ",6.74758652682932,"Unf",6.89972310728487,"Ex","Y",6.98286275146894,"TA","Typ",2,"TA","Attchd","RFn",205,"Gd","TA","Y","None","WD","Normal",11.6784399034478,"TRUE","1930s","FALSE",2,1.6094379124341
"11","20","RL","NoAlley","Reg","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story","5","5",1965,"Hip","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Rec",6.81014245011514,"Unf",6.94793706861497,"Ex","Y",6.94793706861497,"TA","Typ",0,"No","Detchd","Unf",384,"TA","TA","Y","None","WD","Normal",11.7714361601217,"FALSE","1960s","FALSE",2,0
"12","60","RL","NoAlley","IR1","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","2Story","9","5",2006,"Hip","WdShing","Wd Shng","Stone",5.65948221575962,"Ex","TA","PConc","Ex","TA","No","GLQ",6.90675477864855,"Unf",7.06987412845857,"Ex","Y",7.75147531802146,"Ex","Typ",2,"Gd","BuiltIn","Fin",736,"TA","TA","Y","None","New","Partial",12.7512996960135,"TRUE","2000s","FALSE",4,5.12989871492307
"13","20","RL","NoAlley","IR2","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story","5","6",1962,"Hip","HdBoard","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",6.60394382460047,"Unf",6.81673588059497,"TA","Y",6.81673588059497,"TA","Typ",0,"No","Detchd","Unf",352,"TA","TA","Y","None","WD","Normal",11.8775685785581,"FALSE","1960s","FALSE",2,5.75890177387728
"14","20","RL","NoAlley","IR1","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story","7","5",2007,"Gable","VinylSd","VinylSd","Stone",5.7268477475872,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",7.30988148582479,"Ex","Y",7.30988148582479,"Gd","Typ",1,"Gd","Attchd","RFn",840,"TA","TA","Y","None","New","Partial",12.5407575715773,"TRUE","2000s","FALSE",2,5.26785815906333
"15","20","RL","NoAlley","IR1","Lvl","Corner","Gtl","NAmes","Norm","1Fam","1Story","6","5",1960,"Hip","MetalSd","MetalSd","BrkFace",5.36129216570943,"TA","TA","CBlock","TA","TA","No","BLQ",6.59850902861452,"Unf",7.13409372119287,"TA","Y",7.13409372119287,"TA","Typ",1,"Fa","Attchd","RFn",352,"TA","TA","Y","GdWo","WD","Normal",11.9640010843304,"FALSE","1960s","FALSE",2.5,5.96614673912369
"16","45","RM","NoAlley","Reg","Lvl","Corner","Gtl","BrkSide","Norm","1Fam","1.5Unf","7","8",2001,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",6.72503364216684,"Ex","Y",6.75110146893676,"TA","Typ",0,"No","Detchd","Unf",576,"TA","TA","Y","GdPrv","WD","Normal",11.7905572015685,"TRUE","1920s","FALSE",1,5.08140436498446
"17","20","RL","NoAlley","IR1","Lvl","CulDSac","Gtl","NAmes","Norm","1Fam","1Story","6","7",1970,"Gable","Wd Sdng","Wd Sdng","BrkFace",5.19849703126583,"TA","TA","CBlock","TA","TA","No","ALQ",6.361302477573,"Unf",6.91274282049318,"Ex","Y",6.91274282049318,"TA","Typ",1,"TA","Attchd","Fin",480,"TA","TA","Y","None","WD","Normal",11.9117015849276,"FALSE","1970s","FALSE",2,0
"18","90","RL","NoAlley","Reg","Lvl","Inside","Gtl","Sawyer","Norm","Duplex","1Story","4","5",1967,"Gable","MetalSd","MetalSd","None",0,"TA","TA","Slab","No","No","No","No",0,"No",0,"TA","Y",7.16780918431644,"TA","Typ",0,"No","CarPort","Unf",516,"TA","TA","Y","None","WD","Normal",11.4075649493124,"FALSE","1960s","FALSE",2,0
"19","20","RL","NoAlley","Reg","Lvl","Inside","Gtl","SawyerW","RRAe","1Fam","1Story","5","5",2004,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","GLQ",6.4723462945009,"Unf",7.01660968389422,"Ex","Y",7.01660968389422,"Gd","Typ",0,"No","Detchd","Unf",576,"TA","TA","Y","None","WD","Normal",11.9766594812024,"FALSE","2000s","FALSE",2.5,4.63472898822964
"20","20","RL","NoAlley","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story","5","6",1965,"Hip","BrkFace","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",6.22455842927536,"Unf",6.93731408122368,"TA","Y",7.20042489294496,"TA","Min1",0,"No","Attchd","Unf",294,"TA","TA","Y","MnPrv","COD","Abnorml",11.8422292121128,"TRUE","1950s","FALSE",1,0
"21","60","RL","NoAlley","IR1","Lvl","Corner","Gtl","NridgHt","Norm","1Fam","2Story","8","5",2006,"Gable","VinylSd","VinylSd","BrkFace",5.9427993751267,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",7.05531284333975,"Ex","Y",7.77359446736019,"Gd","Typ",1,"Gd","BuiltIn","RFn",853,"TA","TA","Y","None","New","Partial",12.6925031124614,"TRUE","2000s","FALSE",3.5,5.97888576490112
"22","45","RM","Grvl","Reg","Bnk","Inside","Gtl","IDOTRR","Norm","1Fam","1.5Unf","7","7",1950,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",6.45833828334479,"Ex","Y",7.01121398735037,"Gd","Typ",1,"Gd","Attchd","Unf",280,"TA","TA","N","GdPrv","WD","Normal",11.8451027773086,"TRUE","1930s","FALSE",1,5.32787616878958
"23","20","RL","NoAlley","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story","8","5",2002,"Hip","VinylSd","VinylSd","BrkFace",5.64190707093811,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",7.48324441607385,"Ex","Y",7.49331724886215,"Gd","Typ",1,"Gd","Attchd","RFn",534,"TA","TA","Y","None","WD","Normal",12.3458345879053,"FALSE","2000s","FALSE",2,5.80211837537706
"24","120","RM","NoAlley","Reg","Lvl","Inside","Gtl","MeadowV","Norm","TwnhsE","1Story","5","7",1976,"Gable","CemntBd","CmentBd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",6.73459165997295,"Unf",6.94793706861497,"TA","Y",6.96696713861398,"TA","Typ",1,"TA","Attchd","Unf",572,"TA","TA","Y","None","WD","Normal",11.7745202026587,"FALSE","1970s","FALSE",2,5.35185813347607
"25","20","RL","NoAlley","IR1","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story","5","8",2001,"Gable","Plywood","Plywood","None",0,"TA","Gd","CBlock","TA","TA","Mn","Rec",5.24174701505964,"ALQ",6.96696713861398,"Ex","Y",6.96696713861398,"Gd","Typ",1,"TA","Attchd","Unf",270,"TA","TA","Y","MnPrv","WD","Normal",11.9447078813958,"TRUE","1960s","FALSE",2,6.20859002609663
